baseItem,category,tier,cost,nMats,mat1,mat1count,mat2,mat2count,mat3,mat3count,mat4,mat4count,mat5,mat5count,mat6,mat6count
Muscular Wall,2,3,500,1,Polishing Sand,1,,,,,,,,,,
Shortbow,3,0,10,1,Small Horn,1,,,,,,,,,,
Shortbow,3,1,10,1,Thin Wood,1,,,,,,,,,,
Shortbow,3,2,10,1,Animal Fur,1,,,,,,,,,,
Shortbow,3,3,10,1,Beast-Steak,1,,,,,,,,,,
Round Shield,2,0,10,1,Small Horn,1,,,,,,,,,,
Round Shield,2,1,10,1,Thin Wood,1,,,,,,,,,,
Round Shield,2,2,10,1,Beast-Steak,1,,,,,,,,,,
Round Shield,2,3,10,1,Animal Bone,1,,,,,,,,,,
Stalking Bow,3,0,240,1,Thin Wood,1,,,,,,,,,,
Stalking Bow,3,1,240,1,Clear Insect Wing,1,,,,,,,,,,
Stalking Bow,3,2,240,1,Clear Water,1,,,,,,,,,,
Stalking Bow,3,3,240,1,Animal Bone,1,,,,,,,,,,
Strain,3,0,600,1,Harpy Pinion,1,,,,,,,,,,
Strain,3,1,600,1,Quality Gala Mushroom,1,,,,,,,,,,
Strain,3,2,600,1,White Seashell,1,,,,,,,,,,
Strain,3,3,600,1,Goblin Horn,1,,,,,,,,,,
Composite Longbow,3,0,300,1,Small Fang,1,,,,,,,,,,
Composite Longbow,3,1,300,1,Insect Venom,1,,,,,,,,,,
Composite Longbow,3,2,300,1,Bronze Ore,1,,,,,,,,,,
Composite Longbow,3,3,300,1,Lestania Herb,1,,,,,,,,,,
Custom Longbow,3,0,900,1,Brown Wood,1,,,,,,,,,,
Custom Longbow,3,1,900,1,Dry Bone,1,,,,,,,,,,
Custom Longbow,3,2,900,1,Stagnant Shroom,1,,,,,,,,,,
Custom Longbow,3,3,900,2,Rough Thread,1,Hard Wood,1,,,,,,,,
White Wolf Bow,3,0,1500,1,Orc Tusk,1,,,,,,,,,,
White Wolf Bow,3,1,1500,1,Hard Wood,1,,,,,,,,,,
White Wolf Bow,3,2,1500,1,Rough Thread,1,,,,,,,,,,
White Wolf Bow,3,3,1500,2,Small Fang,1,Clear Spring Water,1,,,,,,,,
Red Pine Bow,3,0,1800,1,Red Lumber,1,,,,,,,,,,
Red Pine Bow,3,1,1800,1,Glowworm,1,,,,,,,,,,
Red Pine Bow,3,2,1800,2,Leather Cord,1,Silken Sand,1,,,,,,,,
Red Pine Bow,3,3,1800,2,Linen,1,Goblin's Leaf,1,,,,,,,,
Wood Staff,4,0,10,1,Baby Herb,1,,,,,,,,,,
Wood Staff,4,1,10,1,Thin Wood,1,,,,,,,,,,
Wood Staff,4,2,10,1,Small Horn,1,,,,,,,,,,
Wood Staff,4,3,10,1,Fluorite,1,,,,,,,,,,
Blue Cane,4,0,240,1,Insect Venom,1,,,,,,,,,,
Blue Cane,4,1,240,1,Bronze Ore,1,,,,,,,,,,
Blue Cane,4,2,240,1,Gala Mushroom,1,,,,,,,,,,
Blue Cane,4,3,240,1,Slime Liquid,1,,,,,,,,,,
Hermit Wand,4,0,600,1,Brown Wood,1,,,,,,,,,,
Hermit Wand,4,1,600,1,Undead Carrion,1,,,,,,,,,,
Hermit Wand,4,2,600,1,Clear Insect Wing,1,,,,,,,,,,
Hermit Wand,4,3,600,1,Harpy Pinion,1,,,,,,,,,,
Palm Flower,4,0,300,1,Lestania Herb,1,,,,,,,,,,
Palm Flower,4,1,300,1,Clear Water,1,,,,,,,,,,
Palm Flower,4,2,300,1,Baby Herb,1,,,,,,,,,,
Palm Flower,4,3,300,1,Fluorite,1,,,,,,,,,,
Power of Pawn,4,0,900,1,White Seashell,1,,,,,,,,,,
Power of Pawn,4,1,900,1,Amethyst,1,,,,,,,,,,
Power of Pawn,4,2,900,1,Orc Tusk,1,,,,,,,,,,
Power of Pawn,4,3,900,2,Dull Iron Ingot,1,Stagnant Shroom,1,,,,,,,,
Staff of Magickal Restraint,4,0,1500,1,Goblin Horn,1,,,,,,,,,,
Staff of Magickal Restraint,4,1,1500,1,Peridot,1,,,,,,,,,,
Staff of Magickal Restraint,4,2,1500,1,Rough Thread,1,,,,,,,,,,
Staff of Magickal Restraint,4,3,1500,2,Linen,1,Silken Sand,1,,,,,,,,
Copper Cane,4,0,1800,1,Glowworm,1,,,,,,,,,,
Copper Cane,4,1,1800,1,Spinel,1,,,,,,,,,,
Copper Cane,4,2,1800,2,Copper Ingot,1,Amethyst,1,,,,,,,,
Copper Cane,4,3,1800,2,Mysterious Gold Lump,1,Clear Spring Water,1,,,,,,,,
Bronze Rod,6,0,10,1,Bronze Ore,1,,,,,,,,,,
Bronze Rod,6,1,10,1,Small Horn,1,,,,,,,,,,
Bronze Rod,6,2,10,1,Baby Herb,1,,,,,,,,,,
Bronze Rod,6,3,10,1,Animal Bone,1,,,,,,,,,,
Spike Rod,6,0,100,1,Undead Carrion,1,,,,,,,,,,
Spike Rod,6,1,100,1,Fluorite,1,,,,,,,,,,
Spike Rod,6,2,100,1,Clear Water,1,,,,,,,,,,
Spike Rod,6,3,100,1,Slime Liquid,1,,,,,,,,,,
Power Rod,6,0,500,1,Orc Tusk,1,,,,,,,,,,
Power Rod,6,1,500,1,Iron Ore Fragment,1,,,,,,,,,,
Power Rod,6,2,500,1,Goblin Horn,1,,,,,,,,,,
Power Rod,6,3,500,1,Copper Ingot,1,,,,,,,,,,
Large Wood,5,0,10,1,Thin Wood,1,,,,,,,,,,
Large Wood,5,1,10,1,Bronze Ore,1,,,,,,,,,,
Large Wood,5,2,10,1,Small Horn,1,,,,,,,,,,
Large Wood,5,3,10,1,Animal Bone,1,,,,,,,,,,
Oval Shield,5,0,140,1,Baby Herb,1,,,,,,,,,,
Oval Shield,5,1,140,1,Gala Mushroom,1,,,,,,,,,,
Oval Shield,5,2,140,1,Clear Water,1,,,,,,,,,,
Oval Shield,5,3,140,1,Animal Pelt,1,,,,,,,,,,
Monolith,5,0,400,1,Goblin Horn,1,,,,,,,,,,
Monolith,5,1,400,1,Insect Venom,2,,,,,,,,,,
Monolith,5,2,400,1,Stagnant Shroom,1,,,,,,,,,,
Monolith,5,3,400,1,Small Fang,1,,,,,,,,,,
Battle Shield,5,0,200,1,Insect Venom,1,,,,,,,,,,
Battle Shield,5,1,200,1,Saurian Tail,1,,,,,,,,,,
Battle Shield,5,2,200,1,Undead Carrion,1,,,,,,,,,,
Battle Shield,5,3,200,1,Thin Wood,1,,,,,,,,,,
Knight's Honor,5,0,600,1,Lead Ore,1,,,,,,,,,,
Knight's Honor,5,1,600,1,Brown Wood,1,,,,,,,,,,
Knight's Honor,5,2,600,1,Iron Ore Fragment,1,,,,,,,,,,
Knight's Honor,5,3,600,1,Dull Iron Ingot,1,,,,,,,,,,
Scutum,5,0,1200,1,Peridot,1,,,,,,,,,,
Scutum,5,1,1200,1,Goblin's Leaf,1,,,,,,,,,,
Scutum,5,2,1200,1,Rotten Lump,1,,,,,,,,,,
Scutum,5,3,1200,2,Iron Ore Fragment,1,Spinel,1,,,,,,,,
Woody Magick,5,0,1000,1,Hard Wood,1,,,,,,,,,,
Woody Magick,5,1,1000,1,Small Nut,1,,,,,,,,,,
Woody Magick,5,2,1000,1,Purple Anise,1,,,,,,,,,,
Woody Magick,5,3,1000,2,Rough Thread,1,Clear Spring Water,1,,,,,,,,
Cavalry Arms,7,0,10,1,Spider Thread,1,,,,,,,,,,
Cavalry Arms,7,1,10,1,Slime Liquid,1,,,,,,,,,,
Cavalry Arms,7,2,10,1,Bronze Ore,1,,,,,,,,,,
Cavalry Arms,7,3,10,1,Animal Bone,1,,,,,,,,,,
Thief's Blades,7,0,240,1,Filament,1,,,,,,,,,,
Thief's Blades,7,1,240,1,White Seashell,1,,,,,,,,,,
Thief's Blades,7,2,240,1,Copper Ore,1,,,,,,,,,,
Thief's Blades,7,3,240,1,Copper Ingot,1,,,,,,,,,,
Brise-épéé,7,0,600,1,Goblin Horn,1,,,,,,,,,,
Brise-épéé,7,1,600,1,Dry Bone,1,,,,,,,,,,
Brise-épéé,7,2,600,1,Iron Ore Fragment,1,,,,,,,,,,
Brise-épéé,7,3,600,1,Rough Thread,1,,,,,,,,,,
Slit Daggers,7,0,300,1,Undead Carrion,1,,,,,,,,,,
Slit Daggers,7,1,300,1,Orc Tusk,1,,,,,,,,,,
Slit Daggers,7,2,300,1,Clear Spring Water,1,,,,,,,,,,
Slit Daggers,7,3,300,1,Rough Thread,1,,,,,,,,,,
Snake Daggers,7,0,900,1,Saurian Tail,1,,,,,,,,,,
Snake Daggers,7,1,900,1,Brown Wood,1,,,,,,,,,,
Snake Daggers,7,2,900,1,Dull Iron Ingot,1,,,,,,,,,,
Snake Daggers,7,3,900,1,Leather Cord,1,,,,,,,,,,
Snagdaggers,7,0,1800,1,Unrefined Demon Wine,1,,,,,,,,,,
Snagdaggers,7,1,1800,1,Monster Gallstone,1,,,,,,,,,,
Snagdaggers,7,2,1800,2,Iron Ingot,1,Cedar Wood,1,,,,,,,,
Snagdaggers,7,3,1800,2,Leather Cord,1,Goblin's Leaf,1,,,,,,,,
Gladius,7,0,1500,1,Mysterious Gold Lump,1,,,,,,,,,,
Gladius,7,1,1500,1,Hard Wood,1,,,,,,,,,,
Gladius,7,2,1500,1,Iron Ingot,1,,,,,,,,,,
Gladius,7,3,1500,2,Leather Cord,1,Red Liquor,1,,,,,,,,
Guide Wand,8,0,10,1,Fluorite,1,,,,,,,,,,
Guide Wand,8,1,10,1,Thin Wood,1,,,,,,,,,,
Guide Wand,8,2,10,1,Insect Venom,1,,,,,,,,,,
Guide Wand,8,3,10,1,Fluorite,1,,,,,,,,,,
Ferocious Horn,8,0,240,1,Slime Liquid,1,,,,,,,,,,
Ferocious Horn,8,1,240,1,Undead Carrion,1,,,,,,,,,,
Ferocious Horn,8,2,240,1,Bronze Ore,1,,,,,,,,,,
Ferocious Horn,8,3,240,1,Clear Water,1,,,,,,,,,,
Magician's Thought,8,0,600,1,Small Nut,1,,,,,,,,,,
Magician's Thought,8,1,600,1,Purple Anise,1,,,,,,,,,,
Magician's Thought,8,2,600,1,Hard Wood,1,,,,,,,,,,
Magician's Thought,8,3,600,1,Filament,1,,,,,,,,,,
Palm Trees,8,0,300,1,Brown Wood,1,,,,,,,,,,
Palm Trees,8,1,300,1,Clear Insect Wing,2,,,,,,,,,,
Palm Trees,8,2,300,1,Clear Spring Water,1,,,,,,,,,,
Palm Trees,8,3,300,1,Amethyst,1,,,,,,,,,,
Magic in the Cage,8,0,900,1,Amethyst,1,,,,,,,,,,
Magic in the Cage,8,1,900,1,Copper Ore,1,,,,,,,,,,
Magic in the Cage,8,2,900,1,Copper Ingot,1,,,,,,,,,,
Magic in the Cage,8,3,900,2,Dull Iron Ingot,1,Wild Herb,1,,,,,,,,
Spiral Wand,8,0,1500,1,Spinel,1,,,,,,,,,,
Spiral Wand,8,1,1500,1,Blank Scroll,1,,,,,,,,,,
Spiral Wand,8,2,1500,1,Dull Iron Ingot,1,,,,,,,,,,
Spiral Wand,8,3,1500,2,Bronze Ingot,1,Glowworm,1,,,,,,,,
Mage Wand,8,0,1800,1,Red Lumber,1,,,,,,,,,,
Mage Wand,8,1,1800,1,Peridot,1,,,,,,,,,,
Mage Wand,8,2,1800,2,Red Liquor,1,Harpy Pinion,1,,,,,,,,
Mage Wand,8,3,1800,2,Scroll of Sorcery,1,Amethyst,1,,,,,,,,
Magick Bow,9,0,10,1,Clear Insect Wing,1,,,,,,,,,,
Magick Bow,9,1,10,1,Thin Wood,1,,,,,,,,,,
Magick Bow,9,2,10,2,Thin Wood,1,Clear Insect Wing,1,,,,,,,,
Magick Bow,9,3,10,2,Brown Wood,1,Clear Insect Wing,2,,,,,,,,
Gnosir,9,0,240,1,Bronze Ore,1,,,,,,,,,,
Gnosir,9,1,240,1,Bronze Ore,1,,,,,,,,,,
Gnosir,9,2,240,2,Bronze Ore,1,Fluorite,1,,,,,,,,
Gnosir,9,3,240,2,Bronze Ingot,1,Fluorite,2,,,,,,,,
Kenn-brecher,9,0,600,1,Dry Bone,1,,,,,,,,,,
Kenn-brecher,9,1,600,1,Dry Bone,2,,,,,,,,,,
Kenn-brecher,9,2,600,2,Lead Ore,1,Dry Bone,1,,,,,,,,
Kenn-brecher,9,3,600,2,Lead Ore,1,Saurian Tail,1,,,,,,,,
Bronze Bogen,9,0,300,1,Brown Wood,1,,,,,,,,,,
Bronze Bogen,9,1,300,1,Brown Wood,1,,,,,,,,,,
Bronze Bogen,9,2,300,2,Brown Wood,1,Goblin's Leaf,1,,,,,,,,
Bronze Bogen,9,3,300,1,Hard Wood,1,,,,,,,,,,
Doppel Schütze,9,0,900,1,Iron Ore Fragment,1,,,,,,,,,,
Doppel Schütze,9,1,900,2,Iron Ore Fragment,1,Polishing Sand,1,,,,,,,,
Doppel Schütze,9,2,900,2,Dull Iron Ingot,1,Clear Spring Water,1,,,,,,,,
Doppel Schütze,9,3,900,2,Dull Iron Ingot,1,Red Lumber,1,,,,,,,,
Mageia Kyklos,9,0,1500,1,Red Lumber,1,,,,,,,,,,
Mageia Kyklos,9,1,1500,2,Red Lumber,1,Leather Cord,1,,,,,,,,
Mageia Kyklos,9,2,1500,2,Red Lumber,1,Red Liquor,1,,,,,,,,
Mageia Kyklos,9,3,1500,2,Red Lumber,1,Iron Ore,1,,,,,,,,
Quellenkraft,9,0,1800,1,Iron Ore,1,,,,,,,,,,
Quellenkraft,9,1,1800,2,Iron Ore,1,Hematite Sand,1,,,,,,,,
Quellenkraft,9,2,1800,2,Iron Ore,2,Hematite Sand,1,,,,,,,,
Quellenkraft,9,3,1800,2,Iron Ingot,1,Peridot,1,,,,,,,,
Two-Handed Sword,10,0,10,1,Bronze Ore,1,,,,,,,,,,
Two-Handed Sword,10,1,10,1,Bronze Ore,2,,,,,,,,,,
Two-Handed Sword,10,2,10,2,Bronze Ore,1,Thin Wood,1,,,,,,,,
Two-Handed Sword,10,3,10,2,Bronze Ingot,1,Thin Wood,2,,,,,,,,
Battle Sword,10,0,240,1,Copper Ore,1,,,,,,,,,,
Battle Sword,10,1,240,1,Copper Ore,2,,,,,,,,,,
Battle Sword,10,2,240,2,Copper Ore,1,Brown Wood,1,,,,,,,,
Battle Sword,10,3,240,2,Copper Ingot,1,Brown Wood,2,,,,,,,,
Claymore,10,0,600,1,Hard Wood,1,,,,,,,,,,
Claymore,10,1,600,1,Hard Wood,2,,,,,,,,,,
Claymore,10,2,600,2,Copper Ingot,1,Coarse Sand,1,,,,,,,,
Claymore,10,3,600,3,Copper Ingot,1,Fluorite,2,Slime Liquid,2,,,,,,
Greatsword,10,0,1800,1,Iron Ore,1,,,,,,,,,,
Greatsword,10,1,1800,2,Iron Ore,2,Hematite Sand,1,,,,,,,,
Greatsword,10,2,1800,2,Iron Ingot,1,Red Liquor,1,,,,,,,,
Greatsword,10,3,1800,3,Iron Ingot,1,Crooked Fang,2,Leather Cord,2,,,,,,
Iraklis,10,0,900,1,Iron Ore Fragment,1,,,,,,,,,,
Iraklis,10,1,900,2,Iron Ore Fragment,2,Polishing Sand,1,,,,,,,,
Iraklis,10,2,900,2,Iron Ore Fragment,1,Small Fang,1,,,,,,,,
Iraklis,10,3,900,3,Dull Iron Ingot,1,Crooked Fang,2,Angelica,2,,,,,,
Judge's Hammer,10,0,300,1,Coarse Sand,1,,,,,,,,,,
Judge's Hammer,10,1,300,1,Bronze Ore,2,,,,,,,,,,
Judge's Hammer,10,2,300,2,Bronze Ore,1,Fine Bleached Bone,1,,,,,,,,
Judge's Hammer,10,3,300,3,Copper Ingot,1,Fine Bleached Bone,2,Brown Wood,2,,,,,,
Treispirinadir,10,0,3600,2,Drilled Plate Sheet,1,Hematite Sand,1,,,,,,,,
Treispirinadir,10,1,3600,2,Drilled Plate Sheet,2,Peridot,1,,,,,,,,
Treispirinadir,10,2,3600,2,Drilled Plate Sheet,1,Cedar Wood,1,,,,,,,,
Treispirinadir,10,3,3600,3,Jewel Steel Ingot,1,Rugged Leather,2,Black Tar,2,,,,,,
Primus,11,0,10,1,Animal Fur,1,,,,,,,,,,
Primus,11,1,10,1,Animal Fur,2,,,,,,,,,,
Primus,11,2,10,2,Animal Pelt,1,Clear Water,1,,,,,,,,
Primus,11,3,10,2,Animal Pelt,1,Blank Scroll,2,,,,,,,,
Mergitur,11,0,240,1,Bronze Ore,1,,,,,,,,,,
Mergitur,11,1,240,1,Bronze Ore,2,,,,,,,,,,
Mergitur,11,2,240,2,Bronze Ore,1,Brown Wood,1,,,,,,,,
Mergitur,11,3,240,2,Bronze Ingot,1,Brown Wood,2,,,,,,,,
Fremitu,11,0,1200,1,Hard Wood,1,,,,,,,,,,
Fremitu,11,1,1200,1,Scroll of Sorcery,1,,,,,,,,,,
Fremitu,11,2,1200,2,Red Liquor,1,Lead Ore,1,,,,,,,,
Fremitu,11,3,1200,3,Red Liquor,1,Dull Iron Ingot,2,Clear Insect Wing,2,,,,,,
Sinceritatis,11,0,2100,1,Magick-Tinged Bone,1,,,,,,,,,,
Sinceritatis,11,1,2100,2,Iron Ore,2,Polishing Sand,1,,,,,,,,
Sinceritatis,11,2,2100,2,Iron Ore,1,Orc Tusk,1,,,,,,,,
Sinceritatis,11,3,2100,3,Iron Ingot,1,Yellow Thyme,2,Hard Wood,2,,,,,,
Benedico Sole,11,0,3900,2,Iron Thread,1,Fine Bleached Bone,1,,,,,,,,
Benedico Sole,11,1,3900,2,Iron Thread,2,Orb of Darkness,1,,,,,,,,
Benedico Sole,11,2,3900,2,Scroll of Darkness,1,Magick Silt,1,,,,,,,,
Benedico Sole,11,3,3900,3,Hard Leather Cloth,1,Strong Animal Leather,2,White Liquor,2,,,,,,
Locus Solus,11,0,6000,3,Sharp Claw,1,Strong Thread,1,Phantom Ore,1,,,,,,
Locus Solus,11,1,6000,3,Rusted Plate,2,Magick Silt,1,Black Tar,1,,,,,,
Locus Solus,11,2,6000,3,Orb of Darkness,1,Protective Cloth,1,Beast Fur,1,,,,,,
Locus Solus,11,3,6000,3,Black Skull,1,Broken Dagger,2,Scroll of Darkness,1,,,,,,
Solitus,11,0,600,1,Lizardscale Pelt,1,,,,,,,,,,
Solitus,11,1,600,1,Lizardscale Pelt,1,,,,,,,,,,
Solitus,11,2,600,2,Saurian Tail,2,Peridot,1,,,,,,,,
Solitus,11,3,600,2,Copper Ingot,2,Fine Bleached Bone,2,,,,,,,,
Threaded Cudgel,1,0,-1,0,,,,,,,,,,,,
Threaded Cudgel,1,1,-1,0,,,,,,,,,,,,
Threaded Cudgel,1,2,-1,0,,,,,,,,,,,,
Threaded Cudgel,1,3,-1,0,,,,,,,,,,,,
Cutlass,1,0,1400,1,Cyclops Tusk,1,,,,,,,,,,
Cutlass,1,1,1400,1,Monster Gallstone,1,,,,,,,,,,
Cutlass,1,2,1400,2,Iron Ore,1,Quality Gala Mushroom,1,,,,,,,,
Cutlass,1,3,1400,2,Mysterious Gold Lump,1,Cedar Wood,1,,,,,,,,
Bastard Sword,1,0,1800,1,Black Tar,1,,,,,,,,,,
Bastard Sword,1,1,1800,1,Superior Saurian Tail,1,,,,,,,,,,
Bastard Sword,1,2,1800,2,Monster Gallstone,1,Stagnant Water,1,,,,,,,,
Bastard Sword,1,3,1800,2,Large Metal Plate,1,Red Lumber,1,,,,,,,,
Broadsword,1,0,2000,1,Pyrite,1,,,,,,,,,,
Broadsword,1,1,2000,2,Bronze Ingot,1,Hematite Sand,1,,,,,,,,
Broadsword,1,2,2000,2,Iron Ingot,1,Strong Viscous Liquid,1,,,,,,,,
Broadsword,1,3,2000,2,Red Chromium,1,Harpy Pinion,1,,,,,,,,
Tight Cinquedea,1,0,2600,1,Beast's Mane,1,,,,,,,,,,
Tight Cinquedea,1,1,2600,2,Pine Lumber,1,Stagnant Water,1,,,,,,,,
Tight Cinquedea,1,2,2600,2,Hematite,1,Moonglow,1,,,,,,,,
Tight Cinquedea,1,3,2600,2,Red Chromium,1,Superior Saurian Tail,1,,,,,,,,
Morgenstern,1,0,2400,1,Drilled Ore,1,,,,,,,,,,
Morgenstern,1,1,2400,2,Copper Ingot,1,White Liquor,1,,,,,,,,
Morgenstern,1,2,2400,2,Iron Ingot,1,Silken Sand,1,,,,,,,,
Morgenstern,1,3,2400,2,Jewel Steel Ingot,1,Goblin Horn,1,,,,,,,,
Captain's Soul,1,0,4000,2,Broken Dagger,1,Beautiful Conch Shell,2,,,,,,,,
Captain's Soul,1,1,4000,2,Silver Ore,2,Fine Bleached Bone,2,,,,,,,,
Captain's Soul,1,2,4000,2,Drilled Plate Sheet,1,Undead Extract,1,,,,,,,,
Captain's Soul,1,3,4000,2,Bornite Ingot,1,Sharp Claw,1,,,,,,,,
Bud of Destruction,1,0,4400,2,Iron Ingot,2,Ogre Fur,1,,,,,,,,
Bud of Destruction,1,1,4400,2,Copper Ingot,3,Large Metal Plate,1,,,,,,,,
Bud of Destruction,1,2,4400,2,Jewel Steel Ingot,1,Beast Claw,1,,,,,,,,
Bud of Destruction,1,3,4400,3,Red Alloy Ingot,1,Fiend's Perch,1,Superior Saurian Tail,1,,,,,,
Falcata,1,0,3600,2,High Quality Wood,1,Broken Dagger,1,,,,,,,,
Falcata,1,1,3600,2,Silver Ore,2,Orc Tusk,1,,,,,,,,
Falcata,1,2,3600,2,Cyclops Tusk,1,Quality Gala Mushroom,1,,,,,,,,
Falcata,1,3,3600,2,Scroll of Great Strength,1,Sharp Claw,1,,,,,,,,
Thousand Stings,1,0,7500,2,Giant's Horn,1,Combat Fabric,1,,,,,,,,
Thousand Stings,1,1,7500,3,Gold Ore,2,Strong Acid Slime Piece,1,Thick Bone,1,,,,,,
Thousand Stings,1,2,7500,3,Cockatrice Liquor,1,Orcish Cloth,1,Drómi,1,,,,,,
Thousand Stings,1,3,7500,2,Behemoth Fang,1,Mithril Ingot,2,,,,,,,,
Sense of Wound,1,0,5400,2,Red Alloy Ingot,1,Colossus Horn,1,,,,,,,,
Sense of Wound,1,1,5400,2,Beast's Mane,1,Energy Liquid,2,,,,,,,,
Sense of Wound,1,2,5400,2,Broken Dagger,3,Scroll of Great Strength,2,,,,,,,,
Sense of Wound,1,3,5400,3,Red Alloy Ingot,2,Griffin Feather,1,Energy Liquid,2,,,,,,
Biting Club,1,0,3000,2,Sharp Claw,1,Pyrite,1,,,,,,,,
Biting Club,1,1,3000,2,White Wood,1,Undead Extract,1,,,,,,,,
Biting Club,1,2,3000,2,Dull Iron Ingot,3,Healing Drop,1,,,,,,,,
Biting Club,1,3,3000,2,Bornite Ingot,1,Large Beast-Steak,1,,,,,,,,
Silver Rapier,1,0,4800,2,Silver Ingot,1,Beast Claw,2,,,,,,,,
Silver Rapier,1,1,4800,2,Sphinx Azure Pinion,1,Cerussite,2,,,,,,,,
Silver Rapier,1,2,4800,3,Scroll of Holy,1,Sharp Claw,1,Energy Liquid,1,,,,,,
Silver Rapier,1,3,4800,4,Spirit Silver Ingot,1,Griffin Feather,1,King Bay Leaf,1,Sapphire,1,,,,
Thrice-Repeat Death,1,0,7800,2,Troll's Blue Poisonous Moss,1,Spirit Silver Ingot,1,,,,,,,,
Thrice-Repeat Death,1,1,7800,3,Mithril Ore,2,Silver Bristle,1,Scale Dust,1,,,,,,
Thrice-Repeat Death,1,2,7800,4,Pure White Mane,1,Blow-Resistant Cloth,2,Scale Dust,2,Large-Grained Sand,1,,,,
Thrice-Repeat Death,1,3,7800,5,Corpse-Eater's Horn,1,Cursed Cloth,2,Scale Dust,3,Large-Grained Sand,2,Ancient Scale Dust,1,,
Conclave Blade,1,0,7200,2,Mutated Bone Lump,1,Demon Thread,1,,,,,,,,
Conclave Blade,1,1,7200,3,Mithril Ore,2,Saurian Gland,1,Silver Bristle,1,,,,,,
Conclave Blade,1,2,7200,3,Magickal Potion,1,Strong Thread,1,Sinister Black Cloth,1,,,,,,
Conclave Blade,1,3,7200,2,Corpse-Eater's Horn,1,Drómi,2,,,,,,,,
Stingray,1,0,8000,2,Pure White Mane,2,Scale Dust,2,,,,,,,,
Stingray,1,1,8000,3,Cockatrice Poison Gland,1,Scale Dust,2,Large-Grained Sand,1,,,,,,
Stingray,1,2,8000,4,Angules Horn,1,Scale Dust,3,Large-Grained Sand,2,Ancient Scale Dust,1,,,,
Stingray,1,3,8000,4,Bluish Gray Dragonscale,2,Scale Dust,6,Large-Grained Sand,3,Ancient Scale Dust,2,,,,
Sacred Edge,1,0,6000,3,Spirit Silver Ingot,3,Magick Medal,2,Scroll of Great Strength,2,,,,,,
Sacred Edge,1,1,6000,3,Breya Medal,1,Sphinx Claw,1,Ruby,3,,,,,,
Sacred Edge,1,2,6000,3,Mysree Medal,1,Ogre Claw,1,Dragonleather,1,,,,,,
Sacred Edge,1,3,6000,3,Volden Medal,1,Goat Horn,1,Spirit Silver Ingot,2,,,,,,
Elfin Leaf,1,0,19200,2,Rare Ancient Crystal,1,Rare Greenleaf Crystal,1,,,,,,,,
